event_slug,question,condition_id,market_slug,scope
maduro-out-in-2025,"Maduro out by January 31, 2026?",0x580adc1327de9bf7c179ef5aaffa3377bb5cb252b7d6390b027172d43fd6f993,maduro-out-by-january-31-2026-318,Venezuela: market named in the indictment; account trades reconstructed
us-strikes-iran-by,"US strikes Iran by February 28, 2026?",0x3488f31e6449f9803f99a8b5dd232c7ad883637f1c86e6953305a2ef19c77f20,us-strikes-iran-by-february-28-2026-227-967-547-688-589-491-592-418-452-924-384-915-464-672-196-157-993-596-269-535-381-391-471-256-988-997-296-225-762-973-292-827-345-182-558-215-794-879-189-761,Iran: market named in reporting (documentary case)
next-prime-minister-of-hungary,Will the next Prime Minister of Hungary be Viktor Orbán?,0x5ec80dc407457301f282a2b44341947afc700dfaa7923d14c8894e04bc63b03f,will-the-next-prime-minister-of-hungary-be-viktor-orbn,Hungary: independently reconstructed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 14°C or below on April 6?,0xdda352c02538aa018376336ffee7210e7da2cf6a0cedc35fd8852dfdb08b57c9,highest-temperature-in-paris-on-april-6-2026-14corbelow,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 15°C on April 6?,0xb7b8028c00adad768d6e0c45ec7792e0102e6d5d993ddbf3276cf55f47dae61e,highest-temperature-in-paris-on-april-6-2026-15c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 16°C on April 6?,0x83de6511247e77c34f290c011e9f6b58a5918e35a8aa4d6c4fc4e3840dfcff10,highest-temperature-in-paris-on-april-6-2026-16c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 17°C on April 6?,0x7107fb5f3c62ccf980621ba9b1dc1f04410bc7f600fa824ba931e122c86e45da,highest-temperature-in-paris-on-april-6-2026-17c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 18°C on April 6?,0x748eb438cf07dc087e7545aa7c81e992f3606d63bd2672b7b13e5842b45548f5,highest-temperature-in-paris-on-april-6-2026-18c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 19°C on April 6?,0x8d44af553d26a04b58ce89dea5af18fbba250889c82de8ef9c62e190bc421c07,highest-temperature-in-paris-on-april-6-2026-19c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 20°C on April 6?,0x212ce133e2c8b7f13357158bd5f11a3fb5b99df330ad4b9ee583a4dca6fc9d9e,highest-temperature-in-paris-on-april-6-2026-20c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 21°C on April 6?,0xefb630b450bc264209fef9a27a6a94e0f54612c2f0f391f08b0629993e396bc7,highest-temperature-in-paris-on-april-6-2026-21c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 22°C on April 6?,0xacc7ceeab882a1f486fb2cdb0a8f0c1a2f9dc19fdde2a463adfc961c9785027d,highest-temperature-in-paris-on-april-6-2026-22c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 23°C on April 6?,0x3b27df4a279e585c23081c16e6c63d551b820b93c74a003c86862828e7727830,highest-temperature-in-paris-on-april-6-2026-23c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-6-2026,Will the highest temperature in Paris be 24°C or higher on April 6?,0x5db34b02b73a613c630b79096dc4edfb05cd5374cba915cba865134e66f6072f,highest-temperature-in-paris-on-april-6-2026-24corhigher,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 14°C or below on April 15?,0x611f977692b22dc17436f463f8701292f6412753e8d3a6f431ba5a7d0238be28,highest-temperature-in-paris-on-april-15-2026-14corbelow,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 15°C on April 15?,0x6bd27c23ac5eb798e776d366744308d5c85b39c08d7b0d99cf24994ed3fc42b8,highest-temperature-in-paris-on-april-15-2026-15c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 16°C on April 15?,0x4927ae10bfc412b854faebfe763a65c8fd111f04a83cf1103d9ed5c007aff360,highest-temperature-in-paris-on-april-15-2026-16c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 17°C on April 15?,0x0edddf088d883a7813cdb306b9cd75031b78880b757a47b46f595c085cd8aec3,highest-temperature-in-paris-on-april-15-2026-17c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 18°C on April 15?,0xfcaa1ef1c76f5dd40c79453ac3ded6e6520e3479ad0b76b981e3a338b1f154d3,highest-temperature-in-paris-on-april-15-2026-18c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 19°C on April 15?,0x5cd7451f07e1682d4f0ddd5dff08c6253f67547a1afd88b5c4694028a015d6bf,highest-temperature-in-paris-on-april-15-2026-19c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 20°C on April 15?,0x76d9af80b7e24b4be1d331f264edb1ca9a4c6d0e9ab10fead555455be12db381,highest-temperature-in-paris-on-april-15-2026-20c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 21°C on April 15?,0xddfe94d537a2c64ee9e308a285c187948cfbbcac7512e8a475a27824bb0cab4d,highest-temperature-in-paris-on-april-15-2026-21c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 22°C on April 15?,0xdb8d12c38bb10135ee8b344deccfcf3a93abfc8427b5da2474e6c1eadff65b01,highest-temperature-in-paris-on-april-15-2026-22c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 23°C on April 15?,0x1748fda2469cc894a421388a2cee4a9db482db1eba75d3ffcaf284b4df339e28,highest-temperature-in-paris-on-april-15-2026-23c,France: temperature contract metadata; trades not independently analysed
highest-temperature-in-paris-on-april-15-2026,Will the highest temperature in Paris be 24°C or higher on April 15?,0x553b30e7b596f85c2498e28cfc7961333e8063625b760102618a983d15ac66ae,highest-temperature-in-paris-on-april-15-2026-24corhigher,France: temperature contract metadata; trades not independently analysed
us-forces-in-venezuela-by,"US forces in Venezuela by January 31, 2026?",0xbb8bfdef9052b2709557a6f8f28b23551e3134bfb86eca800211e2191703ee65,us-forces-in-venezuela-by-january-31-2026,Venezuela: market named in the indictment; account trades reconstructed
trump-invokes-war-powers-against-venezuela-by,Trump invokes War Powers against Venezuela by January 31?,0x79801a0feefbc4c35df8f35d33583eef8ff2bd7a514c619929ac62e23c2cf93d,trump-invokes-war-powers-against-venezuela-by-january-31-134-583,Venezuela: market named in the indictment; account trades reconstructed
trump-invokes-war-powers-against-venezuela-by,Trump invokes War Powers against Venezuela by January 31?,,trump-invokes-war-powers-against-venezuela-by-january-31-156,Venezuela: second listing with the same title; no condition ID; not used
will-the-us-invade-venezuela-in-2025,"Will the U.S. invade Venezuela by January 31, 2026?",0x7f3c6b9029a1a4a932509c147a2cc0762e1116b7a4568cde472908b29dd4889d,will-the-us-invade-venezuela-by-january-31-2026,Venezuela: market named in the indictment; account trades reconstructed
will-ukraine-re-enter-novomykolaivka-by-march-31,Will Ukraine re-enter Novomykolaivka by March 31?,0xac74a0513cccc90d458bca3fa754470952f8571e81ee67a1b316ad70c1cbaa52,will-ukraine-re-enter-novomykolaivka-by-march-31,Ukraine: independently reconstructed
will-jesus-christ-return-before-2027,Will Jesus Christ return before 2027?,0x0b4cc3b739e1dfe5d73274740e7308b6fb389c5af040c3a174923d928d134bee,will-jesus-christ-return-before-2027,contract illustration
what-will-happen-before-gta-vi,Another pandemic before GTA VI?,0x71b1cc47f4cfe66e7aefa3705f1e55845a398e61788566463ee73a00f57ab59e,another-pandemic-before-gta-vi,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,Russia-Ukraine Ceasefire before GTA VI?,0x9c1a953fe92c8357f1b646ba25d983aa83e90c525992db14fb726fa895cb5763,russia-ukraine-ceasefire-before-gta-vi-554,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,New Rihanna Album before GTA VI?,0x1fad72fae204143ff1c3035e99e7c0f65ea8d5cd9bd1070987bd1a3316f772be,new-rhianna-album-before-gta-vi-926,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,New Playboi Carti Album before GTA VI?,0x50ddb9cd80d5c271664a2ebb7fcaed1d0a148d82c8e8d314d830f75a944c3dcc,new-playboi-carti-album-before-gta-vi-421,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,Will Jesus Christ return before GTA VI?,0x32b09f6390252b37d674501527e709016d55581b2c1e544bd4b8167f5f732f4c,will-jesus-christ-return-before-gta-vi-665,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,Trump out as President before GTA VI?,0x84f8b70331323c2fba97d7ceaa9a35fb645a0770d0dbff169d07f24f376766e9,trump-out-as-president-before-gta-vi-846,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,Will China invades Taiwan before GTA VI?,0x7b49b9bacb5f435bc10f3b100ff59e2fdd346f7f92a9001881bc9825a0af0f11,will-china-invades-taiwan-before-gta-vi-716-644,conditional illustration and contextual metadata
what-will-happen-before-gta-vi,Will bitcoin hit $1m before GTA VI?,0xbb57ccf5853a85487bc3d83d04d669310d28c6c810758953b9d9b91d1aee89d2,will-bitcoin-hit-1m-before-gta-vi-872-424,conditional illustration and contextual metadata
